MUNICIPIO;CLAVE_ENTIDAD;CLAVE_MUNICIPIO
AGUASCALIENTES;01;001
ASIENTOS;01;002
CALVILLO;01;003
COSÍO;01;004
JESÚS MARÍA;01;005
PABELLÓN DE ARTEAGA;01;006
RINCÓN DE ROMOS;01;007
SAN JOSÉ DE GRACIA;01;008
TEPEZALÁ;01;009
EL LLANO;01;010
SAN FRANCISCO DE LOS ROMO;01;011
NO ESPECIFICADO;01;999
ENSENADA;02;001
MEXICALI;02;002
TECATE;02;003
TIJUANA;02;004
PLAYAS DE ROSARITO;02;005
NO ESPECIFICADO;02;999
COMONDÚ;03;001
MULEGÉ;03;002
LA PAZ;03;003
LOS CABOS;03;008
LORETO;03;009
NO ESPECIFICADO;03;999
CALKINÍ;04;001
CAMPECHE;04;002
CARMEN;04;003
CHAMPOTÓN;04;004
HECELCHAKÁN;04;005
HOPELCHÉN;04;006
PALIZADA;04;007
TENABO;04;008
ESCÁRCEGA;04;009
CALAKMUL;04;010
CANDELARIA;04;011
NO ESPECIFICADO;04;999
ABASOLO;05;001
ACUÑA;05;002
ALLENDE;05;003
ARTEAGA;05;004
CANDELA;05;005
CASTAÑOS;05;006
CUATRO CIÉNEGAS;05;007
ESCOBEDO;05;008
FRANCISCO I. MADERO;05;009
FRONTERA;05;010
GENERAL CEPEDA;05;011
GUERRERO;05;012
HIDALGO;05;013
JIMÉNEZ;05;014
JUÁREZ;05;015
LAMADRID;05;016
MATAMOROS;05;017
MONCLOVA;05;018
MORELOS;05;019
MÚZQUIZ;05;020
NADADORES;05;021
NAVA;05;022
OCAMPO;05;023
PARRAS;05;024
PIEDRAS NEGRAS;05;025
PROGRESO;05;026
RAMOS ARIZPE;05;027
SABINAS;05;028
SACRAMENTO;05;029
SALTILLO;05;030
SAN BUENAVENTURA;05;031
SAN JUAN DE SABINAS;05;032
SAN PEDRO;05;033
SIERRA MOJADA;05;034
TORREÓN;05;035
VIESCA;05;036
VILLA UNIÓN;05;037
ZARAGOZA;05;038
NO ESPECIFICADO;05;999
ARMERÍA;06;001
COLIMA;06;002
COMALA;06;003
COQUIMATLÁN;06;004
CUAUHTÉMOC;06;005
IXTLAHUACÁN;06;006
MANZANILLO;06;007
MINATITLÁN;06;008
TECOMÁN;06;009
VILLA DE ÁLVAREZ;06;010
NO ESPECIFICADO;06;999
ACACOYAGUA;07;001
ACALA;07;002
