"","id","nm","lat","lon","countryCode","cityid","g","dt_txt","temp","pressure","humidity","temp_min","temp_max","weather_id","weather_main","weather_description","weather_icon","wind_speed","wind_deg","clouds_all","visibility","dt","name","coord_lon","coord_lat","sys_country","sys_timezone","sys_sunrise","sys_sunset","feels_like","sea_level","grnd_level"
"1",3515302,"Toluca",19.28833,-99.667221,"MX","MXtoluca",1,"2020-04-30 12:14:42",289.15,1032,51,289.15,289.15,801,"Clouds","few clouds","02d",2.1,280,20,11265,1588266882,"Toluca",-99.67,19.29,"MX",-18000,1588248632,1588294854,286.73,NA,NA
"2",3676623,"Leticia",-4.21528,-69.940559,"CO","COleticia",2,"2020-04-30 12:14:58",299.17,1016,88,298.15,300.15,803,"Clouds","broken clouds","04d",2.6,260,75,10000,1588266898,"Leticia",-69.94,-4.22,"CO",-18000,1588243073,1588286144,303.09,NA,NA
"3",3665900,"Villavicencio",4.142,-73.62664,"CO","COvillavicencio",3,"2020-04-30 12:14:53",302.15,1016,70,302.15,302.15,802,"Clouds","scattered clouds","03d",2.17,100,40,10000,1588266893,"Villavicencio",-73.63,4.14,"CO",-18000,1588243421,1588287567,305.85,NA,NA
"4",3668605,"Santa Marta",11.24079,-74.199043,"CO","COsanta marta",4,"2020-04-30 12:14:53",302.15,1013,74,302.15,302.15,803,"Clouds","broken clouds","04d",3.6,260,75,10000,1588266893,"Santa Marta",-74.2,11.24,"CO",-18000,1588243089,1588288173,305.38,NA,NA
"5",3688689,"Bogota",4.60971,-74.081749,"CO","CObogota",5,"2020-04-30 12:14:58",294.15,1029,46,294.15,294.15,803,"Clouds","broken clouds","04d",3.6,110,75,10000,1588266898,"Bogota",-74.08,4.61,"CO",-18000,1588243498,1588287706,291.4,NA,NA
"6",3981609,"Tijuana",32.533329,-117.01667,"MX","MXtijuana",6,"2020-04-30 12:15:13",292.24,1014,82,291.15,293.15,721,"Haze","haze","50d",1.57,221,75,8047,1588266913,"Tijuana",-117.02,32.53,"MX",-25200,1588251694,1588300119,293.11,NA,NA
"7",4006702,"Ensenada",31.866671,-116.616669,"MX","MXensenada",7,"2020-04-30 12:15:13",293.15,1013,83,293.15,293.15,804,"Clouds","overcast clouds","04d",1.34,334,100,NA,1588266913,"Ensenada",-116.62,31.87,"MX",-25200,1588251661,1588299961,294.6,NA,NA
"8",3995465,"Monterrey",25.66667,-100.316673,"MX","MXmonterrey",8,"2020-04-30 12:15:13",295.49,1023,53,294.82,297.15,803,"Clouds","broken clouds","04d",3.1,140,75,19312,1588266913,"Monterrey",-100.32,25.67,"MX",-18000,1588248292,1588295506,294.03,NA,NA
"9",3514783,"Veracruz",19.200001,-96.133331,"MX","MXveracruz",9,"2020-04-30 12:14:42",302.95,1019,62,302.15,303.71,803,"Clouds","broken clouds","04d",5.1,360,75,9656,1588266882,"Veracruz",-96.13,19.2,"MX",-18000,1588247790,1588293998,303.93,NA,NA
"10",3992619,"Piedras Negras",28.700001,-100.51667,"MX","MXpiedras negras",10,"2020-04-30 12:15:13",301.15,1022,37,301.15,301.15,800,"Clear","clear sky","01d",5.1,180,5,16093,1588266913,"Piedras Negras",-100.52,28.7,"MX",-18000,1588248085,1588295810,298.18,NA,NA
"11",4014338,"Chihuahua",28.633329,-106.083328,"MX","MXchihuahua",11,"2020-04-30 12:15:13",297.15,1024,29,297.15,297.15,800,"Clear","clear sky","01d",3.31,160,5,16093,1588266913,"Chihuahua",-106.08,28.63,"MX",-21600,1588249424,1588297139,293.68,NA,NA
"12",4005539,"Guadalajara",20.66667,-103.333328,"MX","MXguadalajara",12,"2020-04-30 12:15:13",297.44,1024,29,297.04,298.15,800,"Clear","clear sky","01d",5.1,80,5,16093,1588266913,"Guadalajara",-103.33,20.67,"MX",-18000,1588249407,1588295836,292.77,NA,NA
"13",3988086,"Saltillo",25.41667,-101,"MX","MXsaltillo",13,"2020-04-30 12:15:13",293.96,1026,63,292.15,294.82,800,"Clear","clear sky","01d",2.6,360,5,16093,1588266913,"Saltillo",-101,25.42,"MX",-18000,1588248476,1588295649,293.24,NA,NA
"14",3526700,"Iztacalco",19.396669,-99.084717,"MX","MXiztacalco",14,"2020-04-30 12:14:49",293.44,1031,37,293.15,293.71,801,"Clouds","few clouds","02d",2.1,80,20,16093,1588266889,"Iztacalco",-99.08,19.4,"MX",-18000,1588248482,1588294721,290.87,NA,NA
"15",3526683,"Iztapalapa",19.35111,-99.051941,"MX","MXiztapalapa",15,"2020-04-30 12:14:49",293.44,1031,37,293.15,293.71,801,"Clouds","few clouds","02d",2.1,80,20,16093,1588266889,"Iztapalapa",-99.05,19.35,"MX",-18000,1588248479,1588294710,290.87,NA,NA
"16",3515428,"Tlalpan",19.283331,-99.166672,"MX","MXtlalpan",16,"2020-04-30 12:14:43",293.45,1031,37,293.15,293.71,801,"Clouds","few clouds","02d",2.1,80,20,16093,1588266883,"Tlalpan",-99.17,19.28,"MX",-18000,1588248513,1588294733,290.88,NA,NA
"17",4011743,"Durango",24.033331,-104.666672,"MX","MXdurango",17,"2020-04-30 12:15:13",295.94,1028,30,295.15,296.48,800,"Clear","clear sky","01d",3.1,110,5,12874,1588266913,"Durango",-104.67,24.03,"MX",-18000,1588249468,1588296418,292.51,NA,NA
"18",3531732,"Campeche",19.85,-90.533333,"MX","MXcampeche",18,"2020-04-30 12:14:49",303.15,1016,70,303.15,303.15,802,"Clouds","scattered clouds","03d",5.1,320,40,9656,1588266889,"Campeche",-90.53,19.85,"MX",-18000,1588246398,1588292702,305.35,NA,NA
"19",3815415,"Tlaxcala",19.31389,-98.241669,"MX","MXtlaxcala",19,"2020-04-30 12:14:59",293.15,1030,37,293.15,293.15,800,"Clear","clear sky","01d",1.5,40,5,17702,1588266899,"Tlaxcala",-98.24,19.31,"MX",-18000,1588248288,1588294512,290.95,NA,NA
"20",3995523,"Monclova",26.9,-101.416672,"MX","MXmonclova",20,"2020-04-30 12:15:13",300.22,1022,64,297.15,302.59,802,"Clouds","scattered clouds","03d",2.21,114,40,16093,1588266913,"Monclova",-101.42,26.9,"MX",-18000,1588248454,1588295872,302.21,NA,NA
"21",4019233,"Aguascalientes",21.883329,-102.300003,"MX","MXaguascalientes",1,"2020-04-30 12:15:13",294.15,1028,28,294.15,294.15,800,"Clear","clear sky","01d",1,270,5,14484,1588266913,"Aguascalientes",-102.3,21.88,"MX",-18000,1588249068,1588295681,291.74,NA,NA
"22",3979844,"Zacatecas",22.775591,-102.572182,"MX","MXzacatecas",2,"2020-04-30 12:15:13",293.15,1027,37,293.15,293.15,802,"Clouds","scattered clouds","03d",5.75,148,40,16093,1588266913,"Zacatecas",-102.57,22.78,"MX",-18000,1588249063,1588295815,287.97,NA,NA
"23",3514785,"Venustiano Carranza",16.35,-92.550003,"MX","MXvenustiano carranza",3,"2020-04-30 12:14:42",305.15,1017,46,305.15,305.15,711,"Smoke","smoke","50d",6.2,300,40,4828,1588266882,"Venustiano Carranza",-92.55,16.35,"MX",-18000,1588247137,1588292932,304,NA,NA
"25",3532497,"Azcapotzalco",19.48889,-99.183609,"MX","MXazcapotzalco",4,"2020-04-30 12:14:49",293.45,1031,37,293.15,293.71,801,"Clouds","few clouds","02d",2.1,80,20,16093,1588266889,"Azcapotzalco",-99.18,19.49,"MX",-18000,1588248500,1588294751,290.88,NA,NA
"26",4005270,"Guanajuato",21.018579,-101.259102,"MX","MXguanajuato",5,"2020-04-30 12:15:13",295.15,1029,40,295.15,295.15,800,"Clear","clear sky","01d",4.6,84,5,16093,1588266913,"Guanajuato",-101.26,21.02,"MX",-18000,1588248884,1588295365,291.41,NA,NA
